"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04542993","Can SARS-CoV-2 Viral Load and COVID-19 Disease Severity be Reduced by Resveratrol-assisted Zinc Therapy","Reszinate","Recruiting","No Results Available","Covid19|SARS-CoV Infection","Dietary Supplement: Zinc Picolinate|Dietary Supplement: Resveratrol|Dietary Supplement: Zinc Picolinate Placebo|Dietary Supplement: Resveratrol Placebo","Reduction in SARS-CoV-2 Viral load|Reduction in Severity of COVID-19 Disease","Swedish Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","SHS KAPH NSWE 20090","September 8, 2020","September 2021","June 2022","September 9, 2020",,"October 19, 2020","Swedish Medical Center, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04542993"
2,"NCT04343261","Convalescent Plasma in the Treatment of COVID 19",,"Completed","Has Results","Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)|COVID|Coronavirus","Biological: Convalescent Plasma","Mortality|Viral Load|Serum Antibody Titers","Saint Francis Care","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","48","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SFH-20-23","April 10, 2020","July 23, 2020","August 13, 2020","April 13, 2020","September 17, 2020","September 24, 2020","Trinity Health Of New England, Hartford, Connecticut, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/61/NCT04343261/Prot_SAP_000.pdf|""Informed Consent Form: Donor Consent"", https://ClinicalTrials.gov/ProvidedDocs/61/NCT04343261/ICF_001.pdf|""Informed Consent Form: Patient Consent"", https://ClinicalTrials.gov/ProvidedDocs/61/NCT04343261/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT04343261"
3,"NCT04498325","Evaluating the Effect of NT-I7, a Long Acting Interleukin-7, to Increase Lymphocyte Counts and Enhance Immune Clearance of SARS-CoV-2 (COVID-19)",,"Not yet recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: NT-I7|Drug: Placebo|Procedure: Blood for research purposes|Procedure: Blood for pharmacokinetic samples|Procedure: Nasopharyngeal, oropharyngeal, or saliva swab|Procedure: Blood for anti-drug antibody (ADA)","Safe and tolerable dose of NT-I7 (Phase I only)|Percent change in absolute lymphocyte count (ALC)|Change in SARS-CoV-2 viral load|COVID-19 Symptom severity as measured by WHO Ordinal Scale for clinical improvement|Time to resolution of COVID-19 symptoms|Incidence of treatment-emergent adverse events|Number of participants by PCR result status (positive or negative)","Washington University School of Medicine|NeoImmune Tech","All","18 Years and older   (Adult, Older Adult)","Phase 1","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","202009065","October 31, 2020","July 31, 2021","July 31, 2021","August 4, 2020",,"September 30, 2020","Saint Louis University Hospital, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04498325"
4,"NCT04399889","hCT-MSCs for COVID19 ARDS",,"Recruiting","No Results Available","COVID|Corona Virus Infection|COVID19","Biological: human cord tissue mesenchymal stromal cells","Safety of the Investigational Product|Describe the potential for MSC therapy to favorably alter the course of COVID-ARDs","Joanne Kurtzberg, MD|The Marcus Foundation|Duke University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Pro00105410","June 18, 2020","April 1, 2021","July 31, 2021","May 22, 2020",,"June 22, 2020","Duke Hospital, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04399889"
5,"NCT04382625","Hydroxychloroquine in SARS-CoV-2 (COVID-19) Pneumonia Trial",,"Not yet recruiting","No Results Available","SARS-CoV-2 Pneumonia|COVID-19","Drug: Hydroxychloroquine","Change from Baseline Oxygenation on Day 1 to Day 5|Change from Baseline Oxygenation at Day 5|Intensive Care length of stay|Required Mechanical Ventilation|Required Oxygen supplementation|Hospitalization length of Stay|Mortality|Cardiac Arrhythmia - Polymorphic Ventricular Tachycardia|Cardiac Arrhythmia - Ventricular Tachycardia|Cardiac Arrhythmia - Lengthening QTc","Kootenai Health|Washington State University","All","18 Years and older   (Adult, Older Adult)","Phase 4","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18244","October 2020","January 1, 2022","June 1, 2022","May 11, 2020",,"September 2, 2020","Kootenai Health, Coeur d'Alene, Idaho, United States",,"https://ClinicalTrials.gov/show/NCT04382625"
6,"NCT04363866","A Pilot Study to Assess Hydroxychloroquine in Patients With SARS-CoV-2 (COVID-19)",,"Not yet recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Hydroxychloroquine|Drug: Placebo","Clinical Status at Day 5 Assessed by a 6-Point Ordinal Scale|Number of Participants with Detectable SARS-CoV-2 Virus from Day 0 to Day 28 and at Day 5|Toxicity of Study Drug Assessed by Incidence of Adverse Events","Oregon Health and Science University|OHSU Knight Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","STUDY00021303","May 2020","December 2020","June 2021","April 27, 2020",,"April 27, 2020","Oregon Health and Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT04363866"
7,"NCT04584684","Mouth Rinses for Inactivation of COVID-19","MOR","Not yet recruiting","No Results Available","Covid19|Coronavirus Infection|SARS-CoV-2 Infection","Drug: 1.5-2% w/v Hydrogen Peroxide|Drug: 0.12% Chlorhexidine Gluconate|Drug: 21% Ethanol plus essential oils|Drug: 1% w/v Povidone-iodide|Drug: 0.075% Cetylpyridinium Chloride|Other: Saline","Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 15 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 30 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 45 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 60 Minutes","University of North Carolina, Chapel Hill","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","480","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","20-2040","October 2020","September 2022","September 2023","October 14, 2020",,"October 14, 2020","General and Oral Health Center, Chapel Hill, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04584684"
8,"NCT04353271","Trial of Hydroxychloroquine In Covid-19 Kinetics","THICK","Terminated","No Results Available","Covid 19|Corona Virus Infection","Drug: Hydroxychloroquine|Other: Placebo","Percentage of virus free subjects|Disease severity|Incidence of hospitalization|Incidence of Death|Incidence of confirmed SARS-CoV-2 Detection|Incidence of all-cause study medication discontinuation or withdrawal|Immunity to Covid-19","University of South Alabama","All","19 Years to 85 Years   (Adult, Older Adult)","Phase 2|Phase 3","58","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","[1582736-1]","April 17, 2020","July 8, 2020","July 8, 2020","April 20, 2020",,"August 20, 2020","University of South Alabama, Mobile, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04353271"
9,"NCT04432272","ANTIBODY-LEVEL BASED ANALYSIS OF COVID-19 CONVALESCENT SERUM (ABACCuS)","ABACCuS","Recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome (SARS)|Coronavirus Infections","Biological: COVID-19 convalescent plasma","Avoidance of intubation at 28 days (group A)|Mortality (group B)|Cardio-circulatory arrest|Patient Outcome at 28 days|Renal failure|Liver failure|Cytokine Storm|Respiratory support|Vasopressor medication support|Length of ICU length of stay|Intensive Care Unit (ICU) mortality|Hospital length of stay|Ventilator free days|Intubation duration|Readmission|Serum anti-SARS-CoV-2 IgG|SARS-CoV-2 RNA|Mortality (group A)|Time from Transfusion to end of ventilator support (group B)","William Beaumont Hospitals","All","18 Years and older   (Adult, Older Adult)","Phase 2","500","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-198","July 16, 2020","June 2021","August 2021","June 16, 2020",,"August 21, 2020","William Beaumont Hospital, Royal Oak, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04432272"
10,"NCT04530539","The Effect of Melatonin and Vitamin C on COVID-19",,"Not yet recruiting","No Results Available","Covid19|SARS-CoV Infection","Dietary Supplement: Vitamin C|Dietary Supplement: melatonin|Dietary Supplement: Placebo|Other: Symptom Survey","Symptom Severity|Symptom progression","Lancaster General Hospital","All","50 Years and older   (Adult, Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Supportive Care","2020-68","September 18, 2020","September 1, 2021","December 1, 2021","August 28, 2020",,"September 16, 2020","Lancaster General Health, Lancaster, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04530539"
